book_id,title,author,author_last_first,additional_Authors,isbn,isbn13,my_rating,publisher,binding,number_of_pages,year_published,original_publication_year,date_read,date_added,bookshelves,bookshelves_with_positions,read_status,my_review,spoiler,private_notes,read_count,owned_copies
28501519,To the Lighthouse,Virginia Woolf,"Woolf, Virginia",,"=""1784870838""","=""9781784870836""",4,Penguin,Paperback,256,2016,1927,2019/01/13,2018/08/18,,,read,,,,1,0
6425505,"Untamed (House of Night, #4)",P.C. Cast,"Cast, P.C.",Kristin Cast,"=""1905654561""","=""9781905654567""",4,Atom,Paperback,411,2009,2008,,2015/04/08,"fantasy, romance, young-adult","fantasy (#36), romance (#20), young-adult (#33)",read,,,,2,1
24965713,"The Bane Chronicles (The Bane Chronicles, #1-11)",Cassandra Clare,"Clare, Cassandra",,"=""1406360589""","=""9781406360585""",4,Walker Books,Paperback,441,2015,2014,2018/12/05,2018/08/19,,,read,,,,1,0
838638,The Hobbit,J.R.R. Tolkien,"Tolkien, J.R.R.",David Wyatt,"=""0006754023""","=""9780006754022""",4,HarperCollins Children's Books,Paperback,365,1998,1937,,2015/04/08,"childrens, classics, fantasy","childrens (#17), classics (#10), fantasy (#29)",read,,,,4,1
27973757,The Girl of Ink and Stars,Kiran Millwood Hargrave,"Hargrave, Kiran Millwood",,"=""1910002747""","=""9781910002742""",4,Chicken House,Paperback,228,2016,2016,2018/08/04,2018/08/04,,,read,,,,1,0
20939933,Americanah,Chimamanda Ngozi Adichie,"Adichie, Chimamanda Ngozi",,"=""""","=""""",4,Fourth Estate ,Paperback,477,2014,2013,2018/07/30,2015/04/08,,,read,,,,1,1
35924698,"The Witch Doesn't Burn in This One (Women Are Some Kind of Magic, #2)",Amanda Lovelace,"Lovelace, Amanda",ladybookmad,"=""1449489427""","=""9781449489427""",3,Andrews McMeel Publishing,Paperback,192,2018,2018,2018/07/31,2018/07/14,,,read,,,,1,0
24874298,"Sketchy, Doubtful, Incomplete Jottings",Johann Wolfgang von Goethe,"Goethe, Johann Wolfgang von",,"=""0141397136""","=""9780141397139""",4,Penguin Classics,Mass Market Paperback,57,2015,2015,2018/07/01,2018/05/29,,,read,,,,1,0
23358109,"Forever Red (Black Widow, #1)",Margaret Stohl,"Stohl, Margaret",,"=""""","=""""",3,Marvel Press,Hardcover,401,2015,2015,2018/06/30,2018/06/17,,,read,,,,1,0
13624452,How I Live Now,Meg Rosoff,"Rosoff, Meg",,"=""""","=""""",4,,Paperback,211,2004,2004,2018/06/28,2015/05/28,,,read,,,,1,0
